Category,number_of_inc,Year
Debris and open burning,4357,2000
Arson/incendiarism,5903,2000
Recreation and ceremony,365,2000
Missing data/not specified/undetermined,2819,2000
Smoking,457,2000
Railroad operations and maintenance,694,2000
Fireworks,63,2000
Misuse of fire by a minor,336,2000
Equipment and vehicle use,1420,2000
Power generation/transmission/distribution,79,2000
Other causes,28,2000
Firearms and explosives use,7,2000
Debris and open burning,3612,2001
Arson/incendiarism,5152,2001
Recreation and ceremony,292,2001
Missing data/not specified/undetermined,1367,2001
Smoking,350,2001
Railroad operations and maintenance,460,2001
Fireworks,96,2001
Misuse of fire by a minor,314,2001
Equipment and vehicle use,1116,2001
Power generation/transmission/distribution,69,2001
Other causes,22,2001
Firearms and explosives use,21,2001
Debris and open burning,3976,2002
Arson/incendiarism,3779,2002
Recreation and ceremony,370,2002
Missing data/not specified/undetermined,1123,2002
Smoking,297,2002
Railroad operations and maintenance,367,2002
Fireworks,60,2002
Misuse of fire by a minor,287,2002
Equipment and vehicle use,930,2002
Power generation/transmission/distribution,77,2002
Other causes,19,2002
Firearms and explosives use,9,2002
Debris and open burning,2316,2003
Arson/incendiarism,2762,2003
Recreation and ceremony,219,2003
Missing data/not specified/undetermined,1081,2003
Smoking,107,2003
Railroad operations and maintenance,82,2003
Fireworks,48,2003
Misuse of fire by a minor,126,2003
Equipment and vehicle use,803,2003
Power generation/transmission/distribution,74,2003
Other causes,18,2003
Firearms and explosives use,17,2003
Debris and open burning,3356,2004
Arson/incendiarism,3657,2004
Recreation and ceremony,176,2004
Missing data/not specified/undetermined,1090,2004
Smoking,144,2004
Railroad operations and maintenance,107,2004
Fireworks,39,2004
Misuse of fire by a minor,160,2004
Equipment and vehicle use,777,2004
Power generation/transmission/distribution,63,2004
Other causes,23,2004
Firearms and explosives use,18,2004
Debris and open burning,4068,2005
Arson/incendiarism,4680,2005
Recreation and ceremony,516,2005
Missing data/not specified/undetermined,2129,2005
Smoking,247,2005
Railroad operations and maintenance,134,2005
Fireworks,88,2005
Misuse of fire by a minor,203,2005
Equipment and vehicle use,1375,2005
Power generation/transmission/distribution,103,2005
Other causes,24,2005
Firearms and explosives use,25,2005
Debris and open burning,5585,2006
Arson/incendiarism,6424,2006
Recreation and ceremony,284,2006
Missing data/not specified/undetermined,3909,2006
Smoking,351,2006
Railroad operations and maintenance,246,2006
Fireworks,63,2006
Misuse of fire by a minor,254,2006
Equipment and vehicle use,2137,2006
Power generation/transmission/distribution,183,2006
Other causes,16,2006
Firearms and explosives use,41,2006
Debris and open burning,4245,2007
Arson/incendiarism,3851,2007
Recreation and ceremony,433,2007
Missing data/not specified/undetermined,2030,2007
Smoking,188,2007
Railroad operations and maintenance,186,2007
Fireworks,68,2007
Misuse of fire by a minor,172,2007
