FOD_ID,NWCG_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,STATE,FIPS_NAME,VALUE
130130,Santa Fe National Forest,2000,5/29/2000 0:00,Human,Missing data/not specified/undetermined,7/31/2000 0:00,28348.0,35.66777778,-105.6344444,NM,Not Available,0
135227,Helena - Lewis and Clark National Forest,2000,7/23/2000 0:00,Human,Arson/incendiarism,8/23/2000 0:00,30000.0,46.67,-111.6944444,MT,Not Available,2
135309,Sequoia National Forest,2000,7/22/2000 0:00,Human,Missing data/not specified/undetermined,9/6/2000 0:00,75000.0,35.86777778,-118.2838889,CA,Not Available,0
135944,Black Hills National Forest,2000,8/24/2000 0:00,Human,Arson/incendiarism,9/25/2000 0:00,83508.0,43.73166667,-103.8866667,SD,Not Available,2
135995,Plumas National Forest,2000,8/17/2000 0:00,Human,Railroad operations and maintenance,9/27/2000 0:00,55261.0,39.91694444,-121.3175,CA,Not Available,7
334887,Boise District,2000,8/7/2000 0:00,Human,Arson/incendiarism,8/10/2000 0:00,31316.0,43.25368,-115.65016,ID,Elmore County,2
338058,Butte Field Office,2000,8/15/2000 0:00,Human,Equipment and vehicle use,9/30/2000 0:00,81220.0,46.20297,-111.27376,MT,Broadwater County,3
361788,Bandelier National Monument,2000,5/5/2000 0:00,Human,Debris and open burning,7/20/2000 0:00,47650.0,35.85004,-106.41665,NM,Not Available,1
375430,Hanford Reach National Monument,2000,6/27/2000 0:00,Human,Equipment and vehicle use,7/2/2000 0:00,163884.0,46.57194444,-119.7727778,WA,Not Available,3
600754,New Mexico State Forestry Division,2000,2/12/2000 0:00,Human,Missing data/not specified/undetermined,2/12/2000 0:00,40333.199,33.16166999,-103.6017,NM,Lea County,0
600763,New Mexico State Forestry Division,2000,2/17/2000 0:00,Human,Railroad operations and maintenance,2/17/2000 0:00,42212.0,34.39666998,-104.4467,NM,De Baca County,7
600797,New Mexico State Forestry Division,2000,3/7/2000 0:00,Human,Missing data/not specified/undetermined,3/7/2000 0:00,36324.0,32.98833001,-103.6533,NM,Lea County,0
141434,Humboldt-Toiyabe National Forest,2001,8/17/2001 0:00,Human,Power generation/transmission/distribution,8/25/2001 0:00,41830.0,41.66388889,-117.1980556,NV,Humboldt County,8
284728,Colville Agency,2001,8/14/2001 0:00,Human,Smoking,9/16/2001 0:00,32960.0,48.3457,-119.4387,WA,Not Available,6
311024,Alaska Fire Service,2001,6/20/2001 0:00,Human,Debris and open burning,9/10/2001 0:00,84730.0,64.3329,-148.9524,AK,Not Available,1
311025,Alaska Fire Service,2001,6/20/2001 0:00,Human,Missing data/not specified/undetermined,10/15/2001 0:00,112112.0,64.6618,-148.2055,AK,Not Available,0
400280052,Florida Forest Service,2001,2/5/2001 0:00,Human,Missing data/not specified/undetermined,,38100.0,26.8,-80.983333,FL,Not Available,0
149930,San Juan National Forest,2002,6/9/2002 0:00,Human,Missing data/not specified/undetermined,8/8/2002 0:00,73121.0,37.43333333,-107.7830556,CO,Not Available,0
151520,Dixie National Forest,2002,5/31/2002 0:00,Human,Debris and open burning,7/1/2002 0:00,42799.0,37.95833333,-112.2083333,UT,Not Available,1
152146,Coronado National Forest,2002,5/20/2002 0:00,Human,Missing data/not specified/undetermined,7/15/2002 0:00,30600.0,32.37416667,-110.61,AZ,Pima County,0
153920,Sequoia National Forest,2002,7/21/2002 0:00,Human,Recreation and ceremony,8/28/2002 0:00,150696.0,35.87361111,-118.4580556,CA,Not Available,4
